item_id,acquired,roi_cloud_percent,note
20250127_172152_76_253d,2025-01-27T17:21:52.767555Z,0.0,
20250127_172155_16_253d,2025-01-27T17:21:55.168504Z,0.0,
20250131_171355_87_24e0,2025-01-31T17:13:55.879708Z,100.0,
20250131_171358_03_24e0,2025-01-31T17:13:58.038913Z,100.0,
20250130_163236_19_24b9,2025-01-30T16:32:36.194799Z,100.0,
20250130_163238_17_24b9,2025-01-30T16:32:38.173594Z,100.0,
20250129_171028_42_2511,2025-01-29T17:10:28.420532Z,0.0,
20250128_171058_83_2515,2025-01-28T17:10:58.834978Z,0.0,
20250126_171130_09_250d,2025-01-26T17:11:30.095917Z,0.0,
20250126_170936_47_24d5,2025-01-26T17:09:36.474168Z,0.0,
20250124_171052_36_24dd,2025-01-24T17:10:52.365026Z,0.0,
20250123_171138_95_24d9,2025-01-23T17:11:38.958508Z,0.0,
20250123_171359_96_24f0,2025-01-23T17:13:59.969409Z,0.0,
20250122_171051_12_250e,2025-01-22T17:10:51.126203Z,0.0,
20250121_171110_82_2507,2025-01-21T17:11:10.826363Z,0.0,
20250120_171437_72_251d,2025-01-20T17:14:37.726617Z,0.0,
20250120_171435_39_251d,2025-01-20T17:14:35.390897Z,0.0,
20250120_162600_45_24a7,2025-01-20T16:26:00.455973Z,0.0,
20250120_162558_43_24a7,2025-01-20T16:25:58.43334Z,0.0,
20250119_170953_42_2515,2025-01-19T17:09:53.421903Z,0.0,
20250119_170951_08_2515,2025-01-19T17:09:51.08886Z,0.0,
20250117_171034_03_24dd,2025-01-17T17:10:34.030013Z,0.0,
20250117_162759_77_24b2,2025-01-17T16:27:59.778548Z,0.0,
20250117_162757_80_24b2,2025-01-17T16:27:57.804088Z,0.0,
20250116_171041_42_24da,2025-01-16T17:10:41.426655Z,0.0,
20250115_171019_59_2518,2025-01-15T17:10:19.592924Z,100.0,
20250115_171021_89_2518,2025-01-15T17:10:21.895139Z,99.999,
20250114_171255_98_24f3,2025-01-14T17:12:55.989069Z,0.0,
20250113_171115_04_24aa,2025-01-13T17:11:15.049519Z,0.0,
20250113_171312_08_2513,2025-01-13T17:13:12.085138Z,0.0,
20250113_171309_77_2513,2025-01-13T17:13:09.770597Z,0.0,
20250112_171155_51_24f2,2025-01-12T17:11:55.518254Z,0.0,
