"Ochric epipedon"|0|0|0|5|15|25|5|15|25|"25330343"|"15831906"
"Argillic horizon"|5|15|25|200|200|200|175|185|195|"25330343"|"15831905"
"Ochric epipedon"||0|||25|||||"25330344"|"15831758"
"Argillic horizon"||25|||152|||||"25330344"|"15831757"
"Ochric epipedon"|0|0|0|18|20|26|18|20|26|"25330358"|"15831881"
"Albic horizon"|5|12|15|18|20|26|5|8|15|"25330358"|"15831882"
"Argillic horizon"|18|20|26|117|145|152|91|125|134|"25330358"|"15831883"
"Ochric epipedon"|0|0|0|10|18|23|10|18|23|"25330359"|"15831887"
"Argillic horizon"|10|18|23|200|200|200|177|182|190|"25330359"|"15831886"
"Ochric epipedon"|0|0|0|15|20|25|15|20|25|"25330360"|"15831885"
"Argillic horizon"|15|20|25|200|200|200|175|180|185|"25330360"|"15831884"
"Ochric epipedon"|0|0|0|13|18|20|13|18|20|"25330420"|"15831833"
"Argillic horizon"|13|18|20|200|200|200|180|182|187|"25330420"|"15831832"
"Ochric epipedon"|0|0|0|15|20|25|15|20|25|"25330421"|"15831835"
"Argillic horizon"|15|20|25|200|200|200|175|180|185|"25330421"|"15831834"
"Ochric epipedon"|0|0|0|11|15|25|11|15|25|"25330422"|"15831837"
"Argillic horizon"|11|15|25|200|200|200|175|185|189|"25330422"|"15831836"
"Ochric epipedon"|0|0|0|15|20|25|15|20|25|"25330423"|"15831840"
"Albic horizon"|15|20|25|25|36|49|0|16|21|"25330423"|"15831839"
"Argillic horizon"|25|36|49|200|200|200|151|164|175|"25330423"|"15831838"
"Ochric epipedon"|0|0|0|18|20|23|18|20|23|"25330327"|"15831903"
"Argillic horizon"|18|20|23|200|200|200|177|180|182|"25330327"|"15831904"
"Ochric epipedon"||0|||25|||||"25330328"|"15831756"
"Argillic horizon"||25|||152|||||"25330328"|"15831755"
"Ochric epipedon"|0|0|0|5|15|25|5|15|25|"25330353"|"15831913"
"Argillic horizon"|5|15|25|200|200|200|175|185|195|"25330353"|"15831912"
"Lithic contact"|102|119|152|||||||"25330354"|"15831911"
"Ochric epipedon"|0|0|0|8|15|23|8|15|23|"25330354"|"15831910"
"Argillic horizon"|8|15|23|102|119|152|79|104|144|"25330354"|"15831909"
"Ochric epipedon"|0|0|0|8|14|23|8|14|23|"25330434"|"15831968"
"Argillic horizon"|8|14|23|107|135|200|84|121|192|"25330434"|"15831967"
"Ochric epipedon"|0|0|0|13|15|30|13|15|30|"25330435"|"15831969"
"Argillic horizon"|13|15|30|158|170|200|128|155|187|"25330435"|"15831970"
"Fragic soil properties"|69|81|92|122|124|158|30|43|89|"25330435"|"15831971"
