"E"||"E"|||5|15|25|23|48|53|0|33|48|0|0|3|1|3|9|36|45|52|28|39|46|25|37|46|21|33|44|5|17.5|25|0|1.6|3|0|2.2|3|0|2|3|3|7.3|10|2|4.4|9|51|66.4|83.4|20|24.3|30|40|42.1|50|10|16.1|24|0|0|0|0.1|0.3|0.5||||1.48|1.5|1.51||||1.53|1.55|1.62||4|9|14|0.04|0.07|0.14||||7.9|13.4|17.8|2.2|5.2|9|15|21|25|0.3|0.6|1.3|21|26|34|6|10|16|0|0|3|".20"|".64"|0|0|0|0|0|0|0|0|0|0|1|2|5.2|8.5|12.7||||1.8|5.6|11.5|4.5|5.6|6.5||||||||||1.6|5.1|9.3|||||||||||||||||||||"25330343"|"75621199"
"A"||"A"|||0|0|0|5|15|25|5|15|25|0|0|4|0|0|12|44|51|72|30|41|66|28|40|66|24|37|65|5|13.9|25|0|1|2|0.5|1.7|3|0.5|1.6|3|2|5.9|10|2|3.7|9|53|70.5|83|20|25.5|30|40|45|50|12|15.6|27|0|0|0|1|2|3||||1.33|1.38|1.43||||1.39|1.44|1.55||4|9|14|0.13|0.16|0.19||||9.3|15.3|25.3|3.1|6.4|14.7|17|25|36|0.4|0.8|2.2|24|30|42|7|10|18|0|0|10|".17"|".49"|0|0|0|0|0|0|0|0|0|0|1|2|6.5|8.5|14.7||||2.1|6.6|14.3|4.5|6|6.5||||||||||2.5|5|11.3|||||||||||||||||||||"25330343"|"75621198"
"2Bt2"|2|"B"||2|91|152|175|200|200|200|25|48|109|0|0|0|5|15|48|64|90|99|52|85|98|45|81|98|40|77|98|5|10|25|0.5|2|3|1|2|4|0.5|1|4|2|3|7|1|2|7|0|20|45|7|10|20|8|10|25|50|70|85|0|0|0|0.1|0.2|0.4||||1.27|1.32|1.38||||1.7|1.75|2.03||0.01|0.21|0.42|0.01|0.02|0.1||||17.3|36.9|44.4|11.3|31.2|43.7|19|40|48|2.4|8.2|13|56|77|93|36|51|63|7|41|73|".10"|".17"|0|0|0|0|0|0|0|0|0|0|1|2|25.6|36.1|44.1||||14.8|32.1|41|4.5|6|7.3||||||||||3.5|9.5|15.7|||||||||||||||||||||"25330343"|"75621201"
"Bt1"||"B"||1|23|48|53|91|152|175|61|104|122|0|0|3|4|12|18|37|52|60|28|46|53|25|43|53|22|39|50|8|18|30|1|3.2|5|1|3.2|5|1|2.6|5|2|5.4|8|3|3.6|7|26|44|57|10|19|20|15|25|30|35|38|50|0|0|0|0.1|0.2|0.4||||1.43|1.46|1.5||||1.63|1.66|1.8||0.42|1|1.4|0.03|0.1|0.15||||11.3|18.9|24.7|7|12.4|19.4|14|23|28|1.4|2.4|4|43|46|58|24|27|36|0|5|13|".10"|".32"|0|0|0|0|0|0|0|0|0|0|1|2|18|19.7|26.1||||9.2|17.5|25.4|4.5|6|7.3||||||||||1.9|6.1|12|||||||||||||||||||||"25330343"|"75621200"
"2R"|2|"R"||||135|||203|||68|||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||||||||||||2.65|0.0001|0.21|0.42||||||||||||||||||||||||||||||0|0|0|0|0|0|0|0|0|0|0|2|||||||||||||||||||||||||||||||||||||||||||"Extremely high"||"25330344"|"75621206"
"2Bt3/Cr"|2|"B/C"||3||114|||135|||21||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||2.65|0.4|0.9|1.4||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"25330344"|"75621204"
"Ap"||"A"||||0|||18|||18||0|0|0|0|0|0|100|100|100|100|100|100|95|97|100|85|90|95|2|6|10||0.5|||0.5|||1|||1|||3||45|60|65||30|||30||27|34|35||||1|2|3||||1.35|1.4|1.45||||1.53|1.6|1.66|2.65|1.4|3|4|0.18|0.19|0.2||||25.7|33.8|34.7|16.4|21.5|23.2|42|44|46|3|4.5|5.9|39|48|51|19|24|25|16|23|27|".37"|".37"|0|0|0|0|0|0|0|0|0|0|0|2|10|13.5|17|7|10|14|4|11|13|5.1|6.5|6.5|5.1|6.1|6.5||||||||||||||||||||||||||||"Low"||"25330344"|"75621205"
"Bt1"||"B"||1||18|||79|||61||0|0|0|0|5|10|95|97.5|100|85|95|100|80|90|100|70|80|95|2|5|10||0.1|||0.4|||0.5|||2|||2||45|55|65||22|||33||35|40|45||||0.5|0.75|1||||1.25|1.3|1.35||||1.55|1.63|1.74|2.65|0.4|0.9|1.4|0.11|0.14|0.16||||22.8|29|32.1|16.3|20.7|24.7|40|46|50|6|7.5|8.9|46|52|57|25|29|33|16|24|35|".37"|".37"|0|0|0|0|0|0|0|0|0|0|0|2|18|21|23|15|19|20|6|13|22|4.5|5.3|7.3|3.5|4.9|5.5||||||||||||||||||||||||||||"Moderate"||"25330344"|"75621202"
"2Bt2"|2|"B"||2||79|||114|||35||0|0|0|0|5|10|55|85|100|50|80|100|45|75|95|40|70|95|2|9|10||1|||1|||1|||2|||4||35|46|55||19|||27||40|45|60||||0.1|0.25|0.5||||1.25|1.4|1.55||||1.67|1.8|1.82|2.65|0.4|0.9|1.4|0.05|0.11|0.12||||17.2|27.5|36.1|13.2|21.1|32.9|24|38|50|6|7.5|8.9|50|55|69|29|33|44|6|22|47|".32"|".32"|0|0|0|0|0|0|0|0|0|0|0|2|18|25|30|15|22|27|6|20|30|4.5|5.9|7.8|3.5|5.5|6.5||||||||||||||||||||||||||||"High"||"25330344"|"75621203"
"Bt"||"B"|||18|20|26|117|145|152|91|125|134|0|0|0|0|0|0|95|98|100|90|96|100|75|87|96|52|64|74|22|39|51|1|1.9|3|2|5.8|10|4|7.2|8|10|15.2|18|5|8.9|12|15|28|48|8|15|26|7|13|22.2|24|33|35|0|0|0|0.1|0.4|1||||1.35|1.48|1.55||||1.59|1.72|1.75|2.59|1.4|3|4|0.15|0.16|0.17||||28|32.7|34.6|14.2|20.5|23|36|40|45|2.8|5|5.7|34|44|47|16|23|25|5|13|18|".28"|".28"|0|0|0|0|0|0|0|0|0|0|1|2|17.9|25.1|27.5||||11.3|22.8|26.6|5.1|5.7|6.5||||||||||4.2|8.3|10.9|||||||||||||||||||||"25330358"|"75621249"
