"CL"|Yes|"75621520"|"140158684"
"CL-ML"|No |"75621520"|"140158685"
"CL"|Yes|"75621524"|"140158691"
"CL"|Yes|"75621523"|"140158690"
"CL"|Yes|"75621522"|"140158688"
"CH"|No |"75621522"|"140158689"
"CL"|Yes|"75621521"|"140158686"
"CL-ML"|No |"75621521"|"140158687"
"CL"|Yes|"75621517"|"140158681"
"CL"|Yes|"75621518"|"140158682"
"CL"|Yes|"75621519"|"140158683"
"CH"|Yes|"75621477"|"140158621"
"CL"|No |"75621477"|"140158622"
"CL-ML"|No |"75621474"|"140158616"
"CL"|Yes|"75621474"|"140158617"
"CH"|Yes|"75621476"|"140158620"
"CL"|Yes|"75621478"|"140158623"
"CH"|No |"75621478"|"140158624"
"CL"|Yes|"75621475"|"140158618"
"CL-ML"|No |"75621475"|"140158619"
"CL"|Yes|"75621470"|"140158609"
"CH"|Yes|"75621472"|"140158613"
"CL"|Yes|"75621471"|"140158610"
"CH"|No |"75621471"|"140158611"
"SC"|No |"75621471"|"140158612"
"CH"|No |"75621473"|"140158614"
"CL"|Yes|"75621473"|"140158615"
"CL"|Yes|"75621467"|"140158603"
"ML"|No |"75621467"|"140158604"
"CH"|Yes|"75621468"|"140158605"
"CL"|No |"75621468"|"140158606"
"CH"|No |"75621469"|"140158607"
"CL"|Yes|"75621469"|"140158608"
"CL"|Yes|"75621462"|"140158596"
"ML"|No |"75621462"|"140158597"
"CH"|Yes|"75621464"|"140158599"
"CL"|Yes|"75621463"|"140158598"
"CH"|No |"75621466"|"140158601"
"CL"|Yes|"75621466"|"140158602"
"CL"|Yes|"75621465"|"140158600"
"CL"|Yes|"75621242"|"140158256"
"ML"|No |"75621242"|"140158257"
"CH"|No |"75621241"|"140158254"
"CL"|Yes|"75621241"|"140158255"
"CL"|Yes|"75621240"|"140158253"
"CL"|Yes|"75621235"|"140158249"
"PT"|Yes|"75621238"|"140158252"
"CH"|Yes|"75621237"|"140158251"
"CH"|Yes|"75621236"|"140158250"
"GC"|Yes|"75621233"|"140158247"
"GC"|Yes|"75621232"|"140158246"
"GC"|Yes|"75621231"|"140158245"
"CH"|Yes|"75621234"|"140158248"
"GC"|No |"75621149"|"140158145"
"CH"|Yes|"75621149"|"140158146"
"CL"|Yes|"75621147"|"140158141"
"CH"|No |"75621147"|"140158142"
"CL"|No |"75621148"|"140158143"
"CH"|Yes|"75621148"|"140158144"
"CL"|Yes|"75621144"|"140158138"
"CL"|Yes|"75621145"|"140158139"
"CL"|Yes|"75621146"|"140158140"
"CL"|Yes|"75621256"|"140158280"
"CH"|No |"75621256"|"140158281"
"CL"|Yes|"75621254"|"140158276"
"ML"|No |"75621254"|"140158277"
"CH"|Yes|"75621255"|"140158278"
"CL"|No |"75621255"|"140158279"
"CL"|Yes|"75621251"|"140158271"
"CH"|Yes|"75621252"|"140158272"
"CL"|No |"75621252"|"140158273"
"CH"|Yes|"75621253"|"140158274"
"CL"|No |"75621253"|"140158275"
"CL"|Yes|"75621250"|"140158270"
"CL-ML"|Yes|"75621248"|"140158267"
"CL"|No |"75621248"|"140158268"
"CL-ML"|Yes|"75621247"|"140158265"
"CL"|No |"75621247"|"140158266"
"CL"|Yes|"75621249"|"140158269"
"GC"|No |"75621203"|"140158209"
"CH"|Yes|"75621203"|"140158210"
"CL"|No |"75621202"|"140158207"
"CH"|Yes|"75621202"|"140158208"
"CL"|Yes|"75621205"|"140158211"
"CH"|No |"75621205"|"140158212"
"GC"|Yes|"75621200"|"140158205"
"CH"|Yes|"75621201"|"140158206"
"GC"|Yes|"75621198"|"140158203"
"GC"|Yes|"75621199"|"140158204"
