# Clustering vs Yield Map Evaluation Results
# Clustering file: experimental_noss_clustered_results.tif
# Yield file: Ellis-Field/rasterized_yld_map_vol.tif
# Yield range: [70.00, 72.00]
# Generated on: 2025-08-19 15:17:23.587863
#
cluster_id,precision,recall,f1_score,iou,cluster_pixels_total,mask_pixels_total,intersection,union
0,1.6316141558844163e-05,0.009259259259259259,3.257488150886851e-05,1.6287706039481398e-05,61289,108,1,61396
1,0.0003257328990228013,0.26851851851851855,0.0006506764791671341,0.0003254441190003254,89030,108,29,89109
2,0.00035240274599542334,0.7129629629629629,0.000704457293420186,0.0003523527554443077,218500,108,77,218531
3,0.0,0.0,0.0,0.0,9674,108,0,9782
4,0.0,0.0,0.0,0.0,757,108,0,865
5,9.485866059571239e-05,0.009259259259259259,0.00018779342723004695,9.3905531035778e-05,10542,108,1,10649
6,0.0,0.0,0.0,0.0,2224,108,0,2332
7,0.0,0.0,0.0,0.0,165,108,0,273
8,0.0,0.0,0.0,0.0,395,108,0,503
9,0.0,0.0,0.0,0.0,75,108,0,183
10,0.0,0.0,0.0,0.0,508,108,0,616
11,0.0,0.0,0.0,0.0,582,108,0,690
