# Clustering vs Yield Map Evaluation Results
# Clustering file: experimental_clustered_results_without_ss.tif
# Yield file: Ellis-Field/rasterized_yld_map_vol.tif
# Yield range: [50.00, 100.00]
# Generated on: 2025-08-18 21:42:26.424949
#
cluster_id,precision,recall,f1_score,iou,cluster_pixels_total,mask_pixels_total,intersection,union
1,0.008401711199943896,0.18239951278928138,0.016063503130908166,0.008096782914301163,71295,3284,599,73980
2,0.009402089771153135,0.45676004872107184,0.01842491539893013,0.009298116201657543,159539,3284,1500,161323
3,0.0,0.0,0.0,0.0,5673,3284,0,8957
4,0.0,0.0,0.0,0.0,9529,3284,0,12813
5,0.02550266589580523,0.12088915956151035,0.04211978144395523,0.02151295112170803,15567,3284,397,18454
6,0.0013270421704511942,0.0027405602923264312,0.0017881978939002583,0.0008948990752709556,6782,3284,9,10057
7,0.013806361412093673,0.21650426309378806,0.025957431273045888,0.013149377670100423,51498,3284,711,54071
8,0.0,0.0,0.0,0.0,621,3284,0,3905
9,0.0,0.0,0.0,0.0,8381,3284,0,11665
10,0.0,0.0,0.0,0.0,1784,3284,0,5068
11,0.0,0.0,0.0,0.0,936,3284,0,4220
12,0.0,0.0,0.0,0.0,171,3284,0,3455
13,0.0,0.0,0.0,0.0,79,3284,0,3363
14,0.0,0.0,0.0,0.0,235,3284,0,3519
15,0.0,0.0,0.0,0.0,508,3284,0,3792
16,0.0,0.0,0.0,0.0,582,3284,0,3866
